trial_id,subject_id,timestamp_ms,label,risk_label,session_phase,rpe,load_level,label_quality,acc_up_x,acc_up_y,acc_up_z,gyro_up_x,gyro_up_y,gyro_up_z,mag_up_x,mag_up_y,mag_up_z,pitch_up,roll_up,yaw_up,acc_low_x,acc_low_y,acc_low_z,gyro_low_x,gyro_low_y,gyro_low_z,mag_low_x,mag_low_y,mag_low_z,pitch_low,roll_low,yaw_low
trial_unset,subject_unset,3600,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.06,0.75,-0.69,3.8,3.0,1.4,50.1,3.8,12.2,-3.8,133.2,13.1
trial_unset,subject_unset,3620,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.06,0.75,-0.69,3.8,3.0,1.4,50.1,3.8,12.2,-3.8,133.2,13.1
trial_unset,subject_unset,3640,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.06,0.75,-0.69,3.8,3.0,1.4,50.1,3.8,12.2,-3.8,133.2,13.1
trial_unset,subject_unset,3660,unlabeled,ignore,normal_task,-1,none,uncertain,-0.1779,-0.3772,-0.9153,-0.6104,-0.1221,-0.3662,,,,,,,,,,,,,,,,,,
trial_unset,subject_unset,3680,unlabeled,ignore,normal_task,-1,none,uncertain,-0.1779,-0.3772,-0.9153,-0.6104,-0.1221,-0.3662,,,,,,,,,,,,,,,,,,
trial_unset,subject_unset,3700,unlabeled,ignore,normal_task,-1,none,uncertain,-0.1779,-0.3772,-0.9153,-0.6104,-0.1221,-0.3662,,,,,,,,,,,,,,,,,,
trial_unset,subject_unset,3740,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.06,0.75,-0.69,3.8,3.0,1.4,50.1,3.8,12.2,-3.8,133.2,13.1
trial_unset,subject_unset,3760,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.06,0.75,-0.69,3.8,3.0,1.4,50.1,3.8,12.2,-3.8,133.2,13.1
trial_unset,subject_unset,3780,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.06,0.75,-0.69,3.8,3.0,1.4,50.1,3.8,12.2,-3.8,133.2,13.1
trial_unset,subject_unset,4140,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.06,0.75,-0.69,3.8,2.9,1.4,50.1,3.9,11.9,-3.6,132.7,12.9
trial_unset,subject_unset,4160,unlabeled,ignore,normal_task,-1,none,uncertain,-0.1804,-0.3696,-0.9174,-0.6104,-0.1221,-0.4272,,,,,,,0.06,0.75,-0.69,3.8,2.9,1.4,50.1,3.9,11.9,-3.6,132.7,12.9
trial_unset,subject_unset,4180,unlabeled,ignore,normal_task,-1,none,uncertain,-0.1804,-0.3696,-0.9174,-0.6104,-0.1221,-0.4272,,,,,,,0.06,0.75,-0.69,3.8,2.9,1.4,50.1,3.9,11.9,-3.6,132.7,12.9
trial_unset,subject_unset,4200,unlabeled,ignore,normal_task,-1,none,uncertain,-0.1804,-0.3696,-0.9174,-0.6104,-0.1221,-0.4272,,,,,,,,,,,,,,,,,,
